employer,notice_date,number_of_employees_affected,warn_type,city,zip,lwib_area,address,record_number,detail_page_url
Calmont Beverage,"Jan 22, 2026",67,WARN,Barre,05641,00 - Vermont Workforce Investment Area,"308 Industrial Lane; Barre, Vermont 05641",357,https://www.vermontjoblink.com/search/warn_lookups/357
Maple Ridge Memory Care and Lodge,"Jan 30, 2026",126,WARN,Essex Junction,05452,00 - Vermont Workforce Investment Area,"6 Freeman Woods; Essex Junction, Vermont 05452",358,https://www.vermontjoblink.com/search/warn_lookups/358
"Soundview Vermont Holdings, LLC","Jan 15, 2024",127,WARN,Putney,05346,00 - Vermont Workforce Investment Area,"67 Kathan Meadow Road,; Putney, Vermont 05346",336,https://www.vermontjoblink.com/search/warn_lookups/336
The Orvis Company,"Oct 04, 2024",112,WARN,Sunderland,05250,00 - Vermont Workforce Investment Area,"178 Conservation Way; Sunderland, Vermont 05250",343,https://www.vermontjoblink.com/search/warn_lookups/343
Big Lots,"Jul 30, 2024",,WARN,Westerville,43082,00 - Vermont Workforce Investment Area,,344,https://www.vermontjoblink.com/search/warn_lookups/344
ITC Federal,"Dec 03, 2024",,WARN,Essex Junction,05453,00 - Vermont Workforce Investment Area,,345,https://www.vermontjoblink.com/search/warn_lookups/345
Global Foundries,"Dec 16, 2022",148,WARN,Essex Junction,05452,00 - Vermont Workforce Investment Area,"Jennifer Pickering; Essex Junction, Vermont 05452",326,https://www.vermontjoblink.com/search/warn_lookups/326
Jeld-Wen Windows & Doors,"Jun 20, 2022",80,WARN,North Springfield,05150,00 - Vermont Workforce Investment Area,"36 Precision Drive; North Springfield, Vermont 05150",324,https://www.vermontjoblink.com/search/warn_lookups/324
J. C. Penney,"Jan 07, 2015",30,WARN,,,00 - Vermont Workforce Investment Area,,164,https://www.vermontjoblink.com/search/warn_lookups/164
"Plasan North America, Inc.","May 04, 2015",57,WARN,,,00 - Vermont Workforce Investment Area,,169,https://www.vermontjoblink.com/search/warn_lookups/169
JC Penney,"Jan 07, 2015",,WARN,,,00 - Vermont Workforce Investment Area,,170,https://www.vermontjoblink.com/search/warn_lookups/170
Fairpoint Communications,"May 27, 2015",,WARN,,,00 - Vermont Workforce Investment Area,,179,https://www.vermontjoblink.com/search/warn_lookups/179
Keurig Green Mountain,"Aug 06, 2015",,WARN,,,00 - Vermont Workforce Investment Area,,183,https://www.vermontjoblink.com/search/warn_lookups/183
Vermont Castings Group,"Aug 25, 2015",,WARN,,,00 - Vermont Workforce Investment Area,,186,https://www.vermontjoblink.com/search/warn_lookups/186
Gildan Garments,"Aug 26, 2015",,WARN,Northfield,05663,00 - Vermont Workforce Investment Area,,187,https://www.vermontjoblink.com/search/warn_lookups/187
G. Housen and Company Inc.,"Sep 14, 2015",,WARN,,,00 - Vermont Workforce Investment Area,,190,https://www.vermontjoblink.com/search/warn_lookups/190
Gap Inc.,"Dec 08, 2015",23,WARN,,,00 - Vermont Workforce Investment Area,,206,https://www.vermontjoblink.com/search/warn_lookups/206
Plasan Carbon Composites Inc.,"Mar 14, 2014",160,WARN,,,00 - Vermont Workforce Investment Area,,145,https://www.vermontjoblink.com/search/warn_lookups/145
Kennametal,"Mar 31, 2014",,WARN,,,00 - Vermont Workforce Investment Area,,146,https://www.vermontjoblink.com/search/warn_lookups/146
Entergy,"Nov 18, 2014",,WARN,,,00 - Vermont Workforce Investment Area,,161,https://www.vermontjoblink.com/search/warn_lookups/161
Home Depot,"Jun 03, 2008",69,WARN,,,00 - Vermont Workforce Investment Area,,8,https://www.vermontjoblink.com/search/warn_lookups/8
CFM Corporation/Vermont Castings,"Apr 09, 2008",170,WARN,,,00 - Vermont Workforce Investment Area,,9,https://www.vermontjoblink.com/search/warn_lookups/9
Trident LLC/ClearSource,"May 15, 2008",,WARN,,,00 - Vermont Workforce Investment Area,,10,https://www.vermontjoblink.com/search/warn_lookups/10
"Saputo Cheese USA, Inc.","Oct 22, 2008",,WARN,,,00 - Vermont Workforce Investment Area,,37,https://www.vermontjoblink.com/search/warn_lookups/37
Rutland Plywood Corporation,"Nov 19, 2008",,WARN,,,00 - Vermont Workforce Investment Area,,43,https://www.vermontjoblink.com/search/warn_lookups/43
Wyeth Nutrition,"Dec 10, 2003",64,WARN,,,00 - Vermont Workforce Investment Area,,2,https://www.vermontjoblink.com/search/warn_lookups/2
U. S. Tsubaki,"Dec 02, 2003",69,WARN,,,00 - Vermont Workforce Investment Area,,3,https://www.vermontjoblink.com/search/warn_lookups/3
Vermont Tubbs Inc.,"Jul 31, 2003",,WARN,,,00 - Vermont Workforce Investment Area,,7,https://www.vermontjoblink.com/search/warn_lookups/7
